duration_ms,error_message,error_type,event,level,method,path,request_id,service,session_id,stacktrace_hash,status_code,timestamp
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T19:21:24.397
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T19:21:24.402
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T19:21:35.233
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T19:21:35.234
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T19:21:35.385
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.078
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.079
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.216
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.218
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.221
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.221
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.359
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.361
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.364
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T19:21:36.370
,,,db.connecting,INFO,,,,restaurants-service,,,,2025-12-29T22:18:04.921
,,,db.connected,INFO,,,,restaurants-service,,,,2025-12-29T22:18:07.071
,,,server.started,INFO,,,,restaurants-service,,,,2025-12-29T22:18:07.077
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:24:25.564Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:24:25.570Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.495Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.505Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.791Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.795Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.842Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.843Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.954Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.956Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.958Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:25.958Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:26.061Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:28:26.062Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:16.439Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:16.440Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:16.543Z
